Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Scipt Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength[nm],Rsq of Ref.spectrum(Nth),Max_transmission of Ref.spec.(dB),Rsq of IV,I at -1V[A],I at 1V[A]
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-231026,process LMZ,3.600000000000002,B1,magdzi83,-1,-3,0,No Error,1310,0.9993206523857912,-5.525676250457764,0.9999999,2.998289e-07,0.002944735
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190604-003502,process LMZ,3.600000000000002,B1,magdzi83,-1,3,0,No Error,1310,0.9990477173305127,-6.539792060852051,0.9999999,2.330585e-07,0.004511872
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-235243,process LMZ,3.600000000000002,B1,magdzi83,-3,-3,0,No Error,1310,0.9987859175810088,-6.596004962921143,0.9999999,2.549133e-07,0.00192262
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-233550,process LMZ,3.600000000000002,B1,magdzi83,-3,0,0,No Error,1310,0.9990775908049601,-5.268948554992676,0.9999999,2.656578e-07,0.003493654
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190604-004328,process LMZ,3.600000000000002,B1,magdzi83,-3,2,0,No Error,1310,0.9991270770585908,-6.539316654205322,0.9999999,2.258531e-07,0.004335667
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-234417,process LMZ,3.600000000000002,B1,magdzi83,-4,-1,0,No Error,1310,0.9988210955336361,-6.7763590812683105,0.9999999,2.633351e-07,0.00227457
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190604-000110,process LMZ,3.600000000000002,B1,magdzi83,0,-4,0,No Error,1310,0.999227831766669,-5.993927001953125,0.9999999,2.544434e-07,0.002145134
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-225333,process LMZ,3.600000000000002,B1,magdzi83,0,0,0,No Error,1310,0.998297760867747,-5.580395221710205,0.9999999,3.055918e-07,0.005187034
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-232720,process LMZ,3.600000000000002,B1,magdzi83,0,2,0,No Error,1310,0.9989395667444705,-5.57945442199707,0.9999999,2.787125e-07,0.003622514
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-231854,process LMZ,3.600000000000002,B1,magdzi83,2,-1,0,No Error,1310,0.9983713064910645,-5.534558296203613,0.9999999,2.901249e-07,0.004256894
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190604-000937,process LMZ,3.600000000000002,B1,magdzi83,2,-3,0,No Error,1310,0.9987688950209241,-5.957448482513428,0.9999999,2.511984e-07,0.004634428
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190604-002634,process LMZ,3.600000000000002,B1,magdzi83,2,2,0,No Error,1310,0.9980172862450643,-5.796686172485352,0.9999999,2.305046e-07,0.004386544
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190604-001807,process LMZ,3.600000000000002,B1,magdzi83,3,0,0,No Error,1310,0.9985977998356753,-5.815927982330322,0.9999999,2.369815e-07,0.004200758
